tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,expanded_urls,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,stage,calculated_rating,most_likely_breed,retweet_count,favorite_count
8.92421E+17,,,8/1/2017 16:23,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,,,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,,,,,,1.3,,6979,33728
8.92177E+17,,,8/1/2017 0:17,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",,,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,,,,,,1.3,Chihuahua,5280,29255
8.91815E+17,,,7/31/2017 0:18,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,,,,,,1.2,Chihuahua,3466,21987
8.9169E+17,,,7/30/2017 15:58,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,,,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,,,,,,1.3,Labrador_retriever,7198,36823
8.91328E+17,,,7/29/2017 16:00,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",,,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,,,,,,1.2,basset,7723,35207
8.91088E+17,,,7/29/2017 0:08,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,,,,,,,1.3,Chesapeake_Bay_retriever,2590,17757
8.90972E+17,,,7/28/2017 16:27,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",,,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,,,,,,1.3,Appenzeller,1649,10340
8.90729E+17,,,7/28/2017 0:22,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,,,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,,,,,,,1.3,Pomeranian,15695,56701
8.90609E+17,,,7/27/2017 16:25,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,,,,,,1.3,Irish_terrier,3605,24455
8.9024E+17,,,7/26/2017 15:59,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggo,,,,doggo,1.4,Pembroke,6081,27878
